pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
7xd2	D	J	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/12/23	SARS-CoV-2 S ectodomain trimer in complex with neutralizing antibody 10-5B	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, X., Wang, Z.	3.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7xd2	E	H	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/12/23	SARS-CoV-2 S ectodomain trimer in complex with neutralizing antibody 10-5B	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, X., Wang, Z.	3.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7xd2	I	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/12/23	SARS-CoV-2 S ectodomain trimer in complex with neutralizing antibody 10-5B	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Wang, X., Wang, Z.	3.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7y58	B	NA	0	A	protein	NA	antiseptic resistance protein	MEMBRANE PROTEIN/IMMUNE SYSTEM	07/12/23	CryoEM structure of QacA (D411N), an antibacterial efflux transporter from Staphylococcus aureus	Camelus dromedarius; Staphylococcus aureus	camelus dromedarius		staphylococcus aureus	Penmatsa, A., Majumder, P.	3.8	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7y58	C	NA	0	A	protein	NA	antiseptic resistance protein	MEMBRANE PROTEIN/IMMUNE SYSTEM	07/12/23	CryoEM structure of QacA (D411N), an antibacterial efflux transporter from Staphylococcus aureus	Camelus dromedarius; Staphylococcus aureus	camelus dromedarius		staphylococcus aureus	Penmatsa, A., Majumder, P.	3.8	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7yd1	A	B	0	C	protein	NA	spike protein s1	VIRAL PROTEIN	07/12/23	Local refinement of SARS-CoV-2 Omicron S trimer complexed with XG005	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.	2.99	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV2	IGLV2	Lambda	None	None	None	None	None
7ydh	E	E	0	A | B	protein | protein	NA | NA	g protein subunit 13 (gi2-mini-g13 chimera) | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	07/12/23	Cryo EM structure of CD97/miniG13 complex	Homo sapiens	homo sapiens		homo sapiens | homo sapiens	He, Y., Wang, N.	3.1	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
7ydj	E	E	0	A | B	protein | protein	NA | NA	engineered mini-g12 | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	07/12/23	Cryo EM structure of CD97/miniG12 complex	Homo sapiens	homo sapiens		homo sapiens | homo sapiens	He, Y., Wang, N.	3.03	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
7ydm	N	NA	0	A | B	protein | protein	NA | NA	engineered mini-gaq | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	07/12/23	Cryo-EM structure of CD97/Gq complex	Homo sapiens; Lama glama	lama glama		homo sapiens | homo sapiens	He, Y., Wang, N.	2.89	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7ydp	D	NA	0	A | B	protein | protein	NA | NA	engineered minigas | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	07/12/23	Cryo-EM structure of CD97/miniGs complex	Homo sapiens; Lama glama	lama glama		homo sapiens | homo sapiens	He, Y., Wang, N.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8dmj	D	E	0	C	protein	NA	fusion glycoprotein f0,fusion glycoprotein f1	VIRAL PROTEIN/Immune System	07/12/23	Postfusion Nipah virus fusion protein in complex with Fab 1H1	Mus musculus; Nipah henipavirus	mus musculus	mus musculus	nipah henipavirus	Byrne, P.O., Blade, E.G., McLellan, J.S.	3.2	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV12	Kappa	None	None	None	None	None
8dmj	H	L	0	B	protein	NA	fusion glycoprotein f0,fusion glycoprotein f1	VIRAL PROTEIN/Immune System	07/12/23	Postfusion Nipah virus fusion protein in complex with Fab 1H1	Mus musculus; Nipah henipavirus	mus musculus	mus musculus	nipah henipavirus	Byrne, P.O., Blade, E.G., McLellan, J.S.	3.2	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV12	Kappa	None	None	None	None	None
8gto	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/12/23	cryo-EM structure of Omicron BA.5 S protein in complex with XGv282	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Xia, X.Y., Zhang, Y.Y., Chi, X.M., Huang, B.D., Wu, L.S., Zhou, Q.	3.2	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
8gto	I	M	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/12/23	cryo-EM structure of Omicron BA.5 S protein in complex with XGv282	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Xia, X.Y., Zhang, Y.Y., Chi, X.M., Huang, B.D., Wu, L.S., Zhou, Q.	3.2	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
8gto	J	N	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/12/23	cryo-EM structure of Omicron BA.5 S protein in complex with XGv282	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Xia, X.Y., Zhang, Y.Y., Chi, X.M., Huang, B.D., Wu, L.S., Zhou, Q.	3.2	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
8gtp	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/12/23	cryo-EM structure of Omicron BA.5 S protein in complex with XGv289	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Xia, X.Y., Zhang, Y.Y., Chi, X.M., Huang, B.D., Wu, L.S., Zhou, Q.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
8gtp	I	M	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/12/23	cryo-EM structure of Omicron BA.5 S protein in complex with XGv289	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Xia, X.Y., Zhang, Y.Y., Chi, X.M., Huang, B.D., Wu, L.S., Zhou, Q.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
8gtp	J	N	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/12/23	cryo-EM structure of Omicron BA.5 S protein in complex with XGv289	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Xia, X.Y., Zhang, Y.Y., Chi, X.M., Huang, B.D., Wu, L.S., Zhou, Q.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
8gtq	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/12/23	cryo-EM structure of Omicron BA.5 S protein in complex with S2L20	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Xia, X.Y., Zhang, Y.Y., Chi, X.M., Huang, B.D., Wu, L.S., Zhou, Q.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
8gtq	I	M	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/12/23	cryo-EM structure of Omicron BA.5 S protein in complex with S2L20	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Xia, X.Y., Zhang, Y.Y., Chi, X.M., Huang, B.D., Wu, L.S., Zhou, Q.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
8gtq	J	N	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/12/23	cryo-EM structure of Omicron BA.5 S protein in complex with S2L20	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Xia, X.Y., Zhang, Y.Y., Chi, X.M., Huang, B.D., Wu, L.S., Zhou, Q.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
8iul	E	E	0	A | B	protein | protein	NA | NA	g subunit alpha (q) | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	07/12/23	Cryo-EM structure of the latanoprost-bound human PTGFR-Gq complex	Homo sapiens; Mus musculus	mus musculus		homo sapiens | homo sapiens	Wu, C., Xu, Y., Xu, H.E.	2.78	ELECTRON MICROSCOPY	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
8ded	H	L	0	K | J	protein | protein	NA | NA	spike glycoprotein e2 | spike glycoprotein e1	VIRUS/IMMUNE SYSTEM	07/05/23	Cryo-EM Structure of Western Equine Encephalitis Virus VLP in complex with SKW19 fab	Homo sapiens; Western equine encephalitis virus	homo sapiens	homo sapiens	western equine encephalitis virus | western equine encephalitis virus	Pletnev, S., Tsybovsky, Y., Verardi, R., Roedeger, M., Kwong, P.	4.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV2	Kappa	None	None	None	None	None
8ded	U	V	0	G | F	protein | protein	NA | NA	spike glycoprotein e2 | spike glycoprotein e1	VIRUS/IMMUNE SYSTEM	07/05/23	Cryo-EM Structure of Western Equine Encephalitis Virus VLP in complex with SKW19 fab	Homo sapiens; Western equine encephalitis virus	homo sapiens	homo sapiens	western equine encephalitis virus | western equine encephalitis virus	Pletnev, S., Tsybovsky, Y., Verardi, R., Roedeger, M., Kwong, P.	4.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV2	Kappa	None	None	None	None	None
8def	S	T	0	G | F	protein | protein	NA | NA	spike glycoprotein e2 | spike glycoprotein e1	VIRUS/IMMUNE SYSTEM	07/05/23	Cryo-EM Structure of Western Equine Encephalitis Virus VLP in complex with SKW24 fab	Homo sapiens; Western equine encephalitis virus	homo sapiens	homo sapiens	western equine encephalitis virus | western equine encephalitis virus	Pletnev, S., Tsybovsky, Y., Verardi, R., Roedeger, M., Kwong, P.D.	4.2	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None
8def	U	V	0	K | J	protein | protein	NA | NA	spike glycoprotein e2 | spike glycoprotein e1	VIRUS/IMMUNE SYSTEM	07/05/23	Cryo-EM Structure of Western Equine Encephalitis Virus VLP in complex with SKW24 fab	Homo sapiens; Western equine encephalitis virus	homo sapiens	homo sapiens	western equine encephalitis virus | western equine encephalitis virus	Pletnev, S., Tsybovsky, Y., Verardi, R., Roedeger, M., Kwong, P.D.	4.2	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None
7y35	N	NA	0	A | B	protein | protein	NA | NA	isoform gnas-2 of guanine nucleotide-binding protein g(s)subunit alpha isoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	07/05/23	Cryo-EM structure of the Abaloparatide-bound human PTH1R-Gs complex	Bos taurus; Homo sapiens; Rattus norvegicus; synthetic construct; SYNTHETIC CONSTRUCT	synthetic construct		homo sapiens | rattus norvegicus	Zhai, X., Mao, C., Shen, Q., Zang, S., Shen, D., Zhang, H., Chen, Z., Wang, G., Zhang, C., Zhang, Y., Liu, Z.	2.9	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7y36	N	NA	0	A | B	protein | protein	NA | NA	isoform gnas-2 of guanine nucleotide-binding protein g(s)subunit alpha isoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	07/05/23	Cryo-EM structure of the Teriparatide-bound human PTH1R-Gs complex	Bos taurus; Homo sapiens; Rattus norvegicus; synthetic construct; SYNTHETIC CONSTRUCT	synthetic construct		homo sapiens | rattus norvegicus	Zhai, X., Mao, C., Shen, Q., Zang, S., Shen, D., Zhang, H., Chen, Z., Wang, G., Zhang, C., Zhang, Y., Liu, Z.	2.8	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7yc5	D	NA	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/05/23	Cryo-EM structure of SARS-CoV-2 spike in complex with K202.B bispecific antibody	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens		severe acute respiratory syndrome coronavirus2 	Yoo, Y., Cho, H.S.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7yc5	E	NA	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/05/23	Cryo-EM structure of SARS-CoV-2 spike in complex with K202.B bispecific antibody	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens		severe acute respiratory syndrome coronavirus2 	Yoo, Y., Cho, H.S.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7yc5	F	NA	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/05/23	Cryo-EM structure of SARS-CoV-2 spike in complex with K202.B bispecific antibody	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens		severe acute respiratory syndrome coronavirus2 	Yoo, Y., Cho, H.S.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7yc5	G	NA	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/05/23	Cryo-EM structure of SARS-CoV-2 spike in complex with K202.B bispecific antibody	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens		severe acute respiratory syndrome coronavirus2 	Yoo, Y., Cho, H.S.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7yc5	H	NA	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/05/23	Cryo-EM structure of SARS-CoV-2 spike in complex with K202.B bispecific antibody	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens		severe acute respiratory syndrome coronavirus2 	Yoo, Y., Cho, H.S.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7yc5	I	NA	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	07/05/23	Cryo-EM structure of SARS-CoV-2 spike in complex with K202.B bispecific antibody	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens		severe acute respiratory syndrome coronavirus2 	Yoo, Y., Cho, H.S.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7ym8	D	NA	0	A	protein	NA	alpha1a adrenergic receptor	MEMBRANE PROTEIN	07/05/23	Cryo-EM structure of Nb29-alpha1AAR-miniGsq complex bound to oxymetazoline	Homo sapiens; synthetic construct	synthetic construct		homo sapiens	Toyoda, Y., Zhu, A., Yan, C., Kobilka, B.K., Liu, X.	2.92	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7ymh	D	NA	0	A	protein	NA	alpha1a-adrenergic receptor	MEMBRANE PROTEIN	07/05/23	Cryo-EM structure of Nb29-alpha1AAR-miniGsq complex bound to noradrenaline	Homo sapiens; synthetic construct	synthetic construct		homo sapiens	Toyoda, Y., Zhu, A., Yan, C., Kobilka, B.K., Liu, X.	3.52	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7ymj	D	NA	0	A	protein	NA	alpha1a-adrenergic receptor	MEMBRANE PROTEIN	07/05/23	Cryo-EM structure of alpha1AAR-Nb6 complex bound to tamsulosin	Homo sapiens; Lama glama	lama glama		homo sapiens	Toyoda, Y., Zhu, A., Yan, C., Kobilka, B.K., Liu, X.	3.35	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8c8t	C	D	0	A	protein	NA	envelope glycoprotein gp160	IMMUNE SYSTEM	01/08/09	cryo-EM structure of BG505 SOSIP.664 HIV-1 Env trimer in complex with bNAbs EPTC112 and 3BNC117	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Baquero, E., Molinos-Albert, L., Mouquet, H.	3.2	ELECTRON MICROSCOPY	NA	NA	False	True	unknown	IGLV2	Lambda	None	None	None	None	None
8c8t	H	K	0	F	protein	NA	envelope glycoprotein gp160	IMMUNE SYSTEM	01/08/09	cryo-EM structure of BG505 SOSIP.664 HIV-1 Env trimer in complex with bNAbs EPTC112 and 3BNC117	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Baquero, E., Molinos-Albert, L., Mouquet, H.	3.2	ELECTRON MICROSCOPY	NA	NA	False	True	unknown	IGLV2	Lambda	None	None	None	None	None
8c8t	R	T	0	F	protein	NA	envelope glycoprotein gp160	IMMUNE SYSTEM	01/08/09	cryo-EM structure of BG505 SOSIP.664 HIV-1 Env trimer in complex with bNAbs EPTC112 and 3BNC117	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Baquero, E., Molinos-Albert, L., Mouquet, H.	3.2	ELECTRON MICROSCOPY	NA	NA	False	True	unknown	IGKV1	Kappa	None	None	None	None	None
8c8t	S	U	0	G	protein	NA	envelope glycoprotein gp160	IMMUNE SYSTEM	01/08/09	cryo-EM structure of BG505 SOSIP.664 HIV-1 Env trimer in complex with bNAbs EPTC112 and 3BNC117	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Baquero, E., Molinos-Albert, L., Mouquet, H.	3.2	ELECTRON MICROSCOPY	NA	NA	False	True	unknown	IGKV1	Kappa	None	None	None	None	None
8cim	D	E	0	A	protein	NA	spike glycoprotein,fibritin	VIRUS	07/05/23	BA.2-07 FAB IN COMPLEX WITH SARS-COV-2 BA.2.12.1 SPIKE GLYCOPROTEIN	Enterobacteria phage T4; Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2, enterobacteria phage t4 	Duyvesteyn, H.M.E., Ren, J., Stuart, D.I., Fry, E.E.	3.0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
8cim	F	G	0	B	protein	NA	spike glycoprotein,fibritin	VIRUS	07/05/23	BA.2-07 FAB IN COMPLEX WITH SARS-COV-2 BA.2.12.1 SPIKE GLYCOPROTEIN	Enterobacteria phage T4; Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2, enterobacteria phage t4 	Duyvesteyn, H.M.E., Ren, J., Stuart, D.I., Fry, E.E.	3.0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
8cim	H	L	0	C	protein	NA	spike glycoprotein,fibritin	VIRUS	07/05/23	BA.2-07 FAB IN COMPLEX WITH SARS-COV-2 BA.2.12.1 SPIKE GLYCOPROTEIN	Enterobacteria phage T4; Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2, enterobacteria phage t4 	Duyvesteyn, H.M.E., Ren, J., Stuart, D.I., Fry, E.E.	3.0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
8de3	B	C	0	A	protein	NA	transporter	MEMBRANE PROTEIN	07/05/23	Native serotonin transporter in complex with 15B8 Fab antibody in the presence of cocaine	Mus musculus; Sus scrofa	mus musculus	mus musculus	sus scrofa	Yang, D., Gouaux, E.	3.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
8de4	B	C	0	A	protein	NA	transporter	MEMBRANE PROTEIN	07/05/23	Native serotonin transporter in complex with 15B8 Fab in the presence of methamphetamine	Mus musculus; Sus scrofa	mus musculus	mus musculus	sus scrofa	Yang, D., Gouaux, E.	2.9	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
