pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
8flu	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	04/26/23	Human PTH1R in complex with LA-PTH and Gs	Homo sapiens; Lama glama; SYNTHETIC CONSTRUCT	lama glama		homo sapiens | homo sapiens	Cary, B.P., Belousoff, M.J., Piper, S.J., Wootten, D., Sexton, P.M.	2.76	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8sbb	B	NA	0	A	protein	NA	alkane 1-monooxygenase	MEMBRANE PROTEIN	04/26/23	Cryo-EM structure of FtAlkB	Fontimonas thermophila; synthetic construct	synthetic construct		fontimonas thermophila	Zhang, J., Feng, L.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8fu6	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	SIGNALING PROTEIN	04/12/23	GCGR-Gs complex in the presence of RAMP2	Homo sapiens; Lama glama; SYNTHETIC CONSTRUCT	lama glama		homo sapiens | homo sapiens	Krishna Kumar, K., O'Brien, E.S., Wang, H., Montabana, E., Kobilka, B.K.	2.9	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8ont	B	NA	0	A	protein	NA	nramp related aluminium transporter	TRANSPORT PROTEIN	04/12/23	Structure of Setaria italica NRAT in complex with a nanobody	Lama glama; Setaria italica	lama glama		setaria italica	Ramanadane, K., Liziczai, M., Markovic, D., Straub, M.S., Rosalen, G.T., Udovcic, A., Dutzler, R., Manatschal, C.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8i2g	N	NA	0	A | G | B	protein | protein | protein	NA | NA | NA	chimera of guanine nucleotide-binding protein g(s) subunitalpha and guanine nucleotide-binding protein g(s) subunit alpha isoforms xlas  | guanine nucleotide-binding protein g(i)/g(s)/g(o) subunitgamma-2  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	HORMONE	03/29/23	FSHR-Follicle stimulating hormone-compound 716340-Gs complex	Homo sapiens; Lama glama; Mus musculus domesticus	lama glama		mus musculus domesticus, homo sapiens | homo sapiens | homo sapiens	Duan, J., Xu, P., Yang, J., Ji, Y., Zhang, H., Mao, C., Luan, X., Jiang, Y., Zhang, Y., Zhang, S., Xu, H.E.	2.8	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7yag	C	NA	0	A	protein	NA	calcium-transporting atpase type 2c member 1	TRANSPORT PROTEIN	03/22/23	CryoEM structure of SPCA1a in E1-Ca-AMPPCP state subclass 1	Homo sapiens; Vicugna pacos	vicugna pacos		homo sapiens	Chen, Z., Watanabe, S., Inaba, K.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7yah	C	NA	0	A	protein	NA	calcium-transporting atpase type 2c member 1	TRANSPORT PROTEIN	03/22/23	CryoEM structure of SPCA1a in E1-Ca-AMPPCP state subclass 2	Homo sapiens; Vicugna pacos	vicugna pacos		homo sapiens	Chen, Z., Watanabe, S., Inaba, K.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7yai	C	NA	0	A	protein	NA	calcium-transporting atpase type 2c member 1	TRANSPORT PROTEIN	03/22/23	CryoEM structure of SPCA1a in E1-Ca-AMPPCP state subclass 3	Homo sapiens; Vicugna pacos	vicugna pacos		homo sapiens	Chen, Z., Watanabe, S., Inaba, K.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7yaj	C	NA	0	A	protein	NA	calcium-transporting atpase type 2c member 1	TRANSPORT PROTEIN	03/22/23	CryoEM structure of SPCA1a in E1-Mn-AMPPCP state subclass 1	Homo sapiens; Vicugna pacos	vicugna pacos		homo sapiens	Chen, Z., Watanabe, S., Inaba, K.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8bzy	B	NA	0	A	protein	NA	solute carrier family 40 member 1	TRANSPORT PROTEIN	03/22/23	Structure of SLC40/ferroportin in complex with vamifeport and synthetic nanobody Sy3 in occluded conformation	Homo sapiens; synthetic construct	synthetic construct		homo sapiens	Lehmann, E.F., Liziczai, M., Drozdzyk, K., Dutzler, R., Manatschal, C.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8c02	B	NA	0	A	protein	NA	solute carrier family 40 member 1	TRANSPORT PROTEIN	03/22/23	Structure of SLC40/ferroportin in complex with synthetic nanobody Sy3 in occluded conformation	Homo sapiens; synthetic construct	synthetic construct		homo sapiens	Lehmann, E.F., Liziczai, M., Drozdzyk, K., Dutzler, R., Manatschal, C.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8f76	N	NA	0	X | Y | Z	protein | protein | protein	NA | NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1  | guanine nucleotide-binding protein g(i)/g(s)/g(o) subunitgamma-2 	MEMBRANE PROTEIN	03/22/23	Human olfactory receptor OR51E2 bound to propionate in complex with miniGs399	Homo sapiens; Lama glama	lama glama		homo sapiens | homo sapiens | homo sapiens	Billesboelle, C.B., Manglik, A.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8eqb	A	NA	0	C | B	protein | protein	NA | NA	isoform 2 of brca2 and cdkn1a-interacting protein | terminal nucleotidyltransferase 5c	NUCLEAR PROTEIN	03/15/23	FAM46C/BCCIPalpha/Nanobody complex	Homo sapiens; Lama glama	lama glama		homo sapiens | homo sapiens	Liu, S., Chen, H., Yin, Y., Bai, X., Zhang, X.	6.5	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8eqb	D	NA	0	F | E	protein | protein	NA | NA	isoform 2 of brca2 and cdkn1a-interacting protein | terminal nucleotidyltransferase 5c	NUCLEAR PROTEIN	03/15/23	FAM46C/BCCIPalpha/Nanobody complex	Homo sapiens; Lama glama	lama glama		homo sapiens | homo sapiens	Liu, S., Chen, H., Yin, Y., Bai, X., Zhang, X.	6.5	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8eqb	G	NA	0	I | H	protein | protein	NA | NA	isoform 2 of brca2 and cdkn1a-interacting protein | terminal nucleotidyltransferase 5c	NUCLEAR PROTEIN	03/15/23	FAM46C/BCCIPalpha/Nanobody complex	Homo sapiens; Lama glama	lama glama		homo sapiens | homo sapiens	Liu, S., Chen, H., Yin, Y., Bai, X., Zhang, X.	6.5	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8eqb	J	NA	0	L | K	protein | protein	NA | NA	isoform 2 of brca2 and cdkn1a-interacting protein | terminal nucleotidyltransferase 5c	NUCLEAR PROTEIN	03/15/23	FAM46C/BCCIPalpha/Nanobody complex	Homo sapiens; Lama glama	lama glama		homo sapiens | homo sapiens	Liu, S., Chen, H., Yin, Y., Bai, X., Zhang, X.	6.5	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8b01	C	NA	0	B | A	protein | protein	NA | NA	putative trap-type c4-dicarboxylate transport system, largepermease component  | putative trap-type c4-dicarboxylate transport system, smallpermease component 	TRANSPORT PROTEIN	03/15/23	Cryo-EM structure of the Tripartite ATP-independent Periplasmic (TRAP) transporter SiaQM from Photobacterium profundum in a nanodisc	Helicobacter pylori; Photobacterium profundum SS9; synthetic construct	helicobacter pylori, synthetic construct		photobacterium profundum ss9 | photobacterium profundum ss9	Davies, J.S., North, R.A., Dobson, R.C.J.	3.03	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8hix	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	STRUCTURAL PROTEIN	03/15/23	GPR21_m5_Gs	Homo sapiens	homo sapiens		homo sapiens | homo sapiens	Chen, B., Lin, X., Xu, F.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8hj0	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	STRUCTURAL PROTEIN	03/15/23	GPR21(m5) and G15 complex	Homo sapiens	homo sapiens		homo sapiens | homo sapiens	Chen, B., Lin, X.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8hj2	N	NA	0	A | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	STRUCTURAL PROTEIN	03/15/23	GPR21 wt with G15 complex	Homo sapiens	homo sapiens		homo sapiens | homo sapiens	Chen, B., Lin, X., Xu, F.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7ru6	L	NA	0	A	protein	NA	serine incorporator 3	MEMBRANE PROTEIN	08/24/22	Cryo-EM structure of the HIV-1 restriction factor human SERINC3	Homo sapiens; synthetic construct	synthetic construct		homo sapiens	Purdy, M.D., Leonhardt, S.A., Yeager, M.	4.4	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7rug	L	NA	0	A	protein	NA	serine incorporator 3	UNKNOWN FUNCTION	08/24/22	Human SERINC3-DeltaICL4	Homo sapiens; synthetic construct	synthetic construct		homo sapiens	Purdy, M.D., Leonhardt, S.A., Yeager, M.	4.7	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7ph4	C	NA	0	B	protein	NA	atp-dependent lipid a-core flippase	MEMBRANE PROTEIN	08/24/22	AMP-PNP bound nanodisc reconstituted MsbA with nanobodies, spin-labeled at position T68C	Escherichia coli (strain K12); Vicugna pacos	vicugna pacos		escherichia coli (strain k12)	Parey, K., Januliene, D., Galazzo, L., Meier, G., Vecchis, D., Striednig, B., Hilbi, H., Schaefer, L.V., Kuprov, I., Bordignon, E., Seeger, M.A., Moeller, A.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7ph4	D	NA	0	A	protein	NA	atp-dependent lipid a-core flippase	MEMBRANE PROTEIN	08/24/22	AMP-PNP bound nanodisc reconstituted MsbA with nanobodies, spin-labeled at position T68C	Escherichia coli (strain K12); Vicugna pacos	vicugna pacos		escherichia coli (strain k12)	Parey, K., Januliene, D., Galazzo, L., Meier, G., Vecchis, D., Striednig, B., Hilbi, H., Schaefer, L.V., Kuprov, I., Bordignon, E., Seeger, M.A., Moeller, A.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8bev	B	NA	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN	03/08/23	Cryo-EM structure of SARS-CoV-2 spike (HexaPro variant) in complex with nanobody W25 (map 3, focus refinement on RBD, W25 and adjacent NTD)	Severe acute respiratory syndrome coronavirus 2; Vicugna pacos	vicugna pacos		severe acute respiratory syndrome coronavirus2 	Lauer, S., Spahn, C.M.T., Schwefel, D.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8bgg	Y	NA	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN	03/08/23	Cryo-EM structure of SARS-CoV-2 spike (Omicron BA.1 variant) in complex with nanobody W25 (map 5, focus refinement on RBD, W25 and adjacent NTD)	Severe acute respiratory syndrome coronavirus 2; Vicugna pacos	vicugna pacos		severe acute respiratory syndrome coronavirus2 	Modhiran, N., Lauer, S., Spahn, C.M.T., Watterson, D., Schwefel, D.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8hmv	N	NA	0	C | B	protein | protein	NA | NA	guanine nucleotide-binding protein g(s) subunit alphaisoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	03/01/23	Structure of GPR21-Gs complex	Homo sapiens; synthetic construct	synthetic construct		homo sapiens | homo sapiens	Wong, T.S., Gao, W.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
8c8p	H	NA	0	A	protein	NA	spike glycoprotein,sars-cov-2 spike glycoprotein	VIRAL PROTEIN	02/22/23	Structure of the SARS-CoV-2 spike glycoprotein in complex with the 10D12 heavy-chain-only antibody (local refinement)	Mus musculus; Severe acute respiratory syndrome coronavirus 2	mus musculus		severe acute respiratory syndrome coronavirus2 	Serna Martin, I., Hurdiss, D.L.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7tmw	N	NA	0	R | B	protein | protein	NA | NA	relaxin receptor 1, guanine nucleotide-binding protein g(s)subunit alpha isoforms short fusion  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	02/15/23	Cryo-EM structure of the relaxin receptor RXFP1 in complex with heterotrimeric Gs	Homo sapiens; Lama glama	lama glama		homo sapiens | homo sapiens	Erlandson, S.C., Rawson, S., Kruse, A.C.	3.2	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7xv3	N	NA	0	A | B	protein | protein	NA | NA	engineered g protein subunit s (mini-gs) | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 	MEMBRANE PROTEIN	02/15/23	Cryo-EM structure of LPS-bound GPR174 in complex with Gs protein	Homo sapiens; Lama glama	lama glama		homo sapiens | homo sapiens	He, Y., Liang, J.	2.76	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7wn0	B	NA	0	A	protein	NA	equilibrative nucleoside/nucleobase transporter	TRANSPORT PROTEIN	02/01/23	Structure of PfENT1(Y190A) in complex with nanobody 19	Plasmodium falciparum; Vicugna pacos	vicugna pacos		plasmodium falciparum	Wang, C., Deng, D., Ren, R.B., Yu, L.Y.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
7wn1	C	NA	0	A	protein	NA	equilibrative nucleoside/nucleobase transporter	TRANSPORT PROTEIN	02/01/23	Structure of PfNT1(Y190A) in complex with nanobody 48 and inosine	Plasmodium falciparum; Vicugna pacos	vicugna pacos		plasmodium falciparum	Wang, C., Deng, D., Ren, R.B., Yu, L.Y.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8gni	C	NA	0	A	protein	NA	nad(+) hydrolase sarm1	HYDROLASE	01/18/23	Human SARM1 bounded with NMN and Nanobody-C6, Conformation 1	Homo sapiens; Vicugna pacos	vicugna pacos		homo sapiens	Cai, Y., Zhang, H.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8gnj	C	NA	0	A	protein	NA	nad(+) hydrolase sarm1	HYDROLASE	01/18/23	Human SARM1 bounded with NMN and Nanobody-C6, Conformation 2	Homo sapiens; Vicugna pacos	vicugna pacos		homo sapiens	Cai, Y., Zhang, H.	0	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	NA	NA	None	None	None	None	None
8gq5	a	NA	0	A	protein	NA	nanobody c6	HYDROLASE	01/18/23	Human SARM1 bounded with NMN and Nanobody-C6, double-layer structure	Homo sapiens; Vicugna pacos	vicugna pacos		homo sapiens	Cai, Y., Zhang, H.	0	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV1	NA	NA	None	None	None	None	None
8gq5	b	NA	0	B	protein	NA	nanobody c6	HYDROLASE	01/18/23	Human SARM1 bounded with NMN and Nanobody-C6, double-layer structure	Homo sapiens; Vicugna pacos	vicugna pacos		homo sapiens	Cai, Y., Zhang, H.	0	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV1	NA	NA	None	None	None	None	None
8gq5	c	NA	0	C	protein	NA	nanobody c6	HYDROLASE	01/18/23	Human SARM1 bounded with NMN and Nanobody-C6, double-layer structure	Homo sapiens; Vicugna pacos	vicugna pacos		homo sapiens	Cai, Y., Zhang, H.	0	ELECTRON MICROSCOPY	NA	NA	False	False	IGHV1	NA	NA	None	None	None	None	None
